bank,area,jenis,id_mesin,nama_mesin,status
BCA,FREE YORK,CRM/CDM,ZZA1,CDM Wings Marunda 1,AKTIF
BCA,FREE YORK,CRM/CDM,ZZA2,CDM Wings Marunda 1,AKTIF
BCA,SUNTER,CRM,Z6E3,Apt Ancol Mansion,AKTIF
BCA,SUNTER,CRM,Z6E2,PFM Pademangan 3,AKTIF
BCA,SUNTER,CRM,Z7LU,Springhills Office Tower,AKTIF
BCA,SUNTER,CRM,Z4U8,Ruko Pademangan,AKTIF
BCA,SUNTER,CRM,Z2KE,Menara Ancol CRM 2,AKTIF
BCA,SUNTER,CRM,Z2KD,Menara Ancol CRM 1,AKTIF
BCA,SUNTER,CRM,ZK9M,Alfamart Pademangan VI 1,AKTIF
BCA,PESISIR,CRM,Z2EL,Pluit Timur,AKTIF
BCA,PESISIR,CRM,Z1TV,WTC Mangga Dua CRM 1,AKTIF
BCA,PESISIR,CRM,Z1VL,Pluit CRM 1,AKTIF
BCA,PESISIR,CRM,ZLP9,Apt Regatta,AKTIF
BCA,PESISIR,CRM,ZX3B,AlfaMd Pluit Utara Raya,AKTIF
BCA,UTARA,TCR,TCR SEMPER 1,TCR Semper 1,AKTIF
BCA,UTARA,TCR,TCR SEMPER 2,TCR Semper 2,AKTIF
BCA,UTARA,TCR,TCR PRIMA SUNTER 1,TCR Prima Sunter,AKTIF
BCA,UTARA,TCR,TCR PRIMA SUNTER 2,TCR Prima Sunter,AKTIF
BCA,PESISIR,TCR,TCR TAMAN PERMATA INDAH II 1,TCR Taman Permata Indah II,AKTIF
BCA,PESISIR,TCR,TCR PLUIT MEGA MALL 1,TCR Pluit Mega Mall,AKTIF
BCA,PESISIR,TCR,TCR PLUIT MEGA MALL 2,TCR Pluit Mega Mall,AKTIF
BDI,,CRM,80000213,JKT MALL ARTHA GADING BUTIK 1,AKTIF
BDI,,CRM,80001033,JAKARTA MOBILE BRANCH LARGE 1,AKTIF
BDI,,CRM,80001034,JAKARTA MOBILE BRANCH LARGE 2,AKTIF
BDI,,CRM,80000458,JKT PANTAI INDAH KAPUK,AKTIF
BDI,,CRM,80000390,JKT MUARA KARANG,AKTIF
BDI,,CRM,80000660,JKT RUKO PURI DELTA MAS,AKTIF
BNI,UTARA,CRM,S1HJKTR041,APARTEMEN SPRINGHILL,AKTIF
BNI,UTARA,CRM,S1IKAGR022,INDOGROSIR PIPAL MART,AKTIF
BNI,UTARA,CRM,S1JTPRR063,INDOMARET WARAKAS VII,AKTIF
BNI,UTARA,CRM,S1JTPRR072,INDOMARET MANGGA 22,AKTIF
BNI,UTARA,CRM,S1JTPRR061,INDOMARET KEBANTENAN,AKTIF
BNI,UTARA,CRM,S1DTPRR065,K24 Alur Laut,AKTIF
BNI,UTARA,CRM,S1HKAGR007,KCP GADING PANDAWA CRM,AKTIF
BNI,PESISIR,CRM,S1HJKTR030,PASAR MOBIL KEMAYORAN,AKTIF
BNI,PESISIR,CRM,S1GRMAR017,Perum Muara Baru,AKTIF
BRI,UTARA,CRM,790126,BRI UNIT SUNTER PODOMORO,AKTIF
BRI,UTARA,CRM,260023,BRI KK BULOG,AKTIF
BRI,UTARA,CRM,2003,BRI KK KAWASAN BERIKAT NUSANTARA,AKTIF
BRI,UTARA,CRM,470018,BRI KK MKG,AKTIF
BRI,UTARA,CRM,2040,BRI KC KELAPA GADING,AKTIF
BRI,UTARA,CRM,861149,CRM KC JAKARTA GADING BOULEVARD,AKTIF
BRI,UTARA,CRM,861150,CRM KC JAKARTA GADING BOULEVARD,AKTIF
BRI,UTARA,CRM,861100,CRM KC TANJUNG PRIOK,AKTIF
BRI,UTARA,CRM,861183,CRM KC JAKARTA SUNTER,AKTIF
BRI,UTARA,CRM,861005,CRM KC JAKAKAR SUNTER,AKTIF
BRI,UTARA,CRM,861015,CRM KCP ADPEL,AKTIF
BRI,UTARA,CRM,861004,CRM KC JAKARTA KELAPA GADING,AKTIF
BRI,UTARA,CRM,986087,KCP CAKUNG TIPAR,AKTIF
BRI,UTARA,CRM,2041,KK MKG,AKTIF
BRI,PESISIR,CRM,260854,BRI UNIT PEDONGKELAN,AKTIF
BSI,,CRM,C9035004,ALFAMIDI GADANG,AKTIF
BSI,,CRM,C9035003,Alfamidi Warakas 2,AKTIF
BSI,,CRM,C9035006,Indomaret Kebantenan 85,AKTIF
BSI,,CRM,C0145004,Alfamidi Menteng Koja,AKTIF
BSI,,CRM,C8324003,Alfamidi Raya Maja,AKTIF
BSI,,CRM,C9035005,Alfamidi Bantengan Mas,AKTIF
BSI,,CRM,C8324004,Alfamidi Kebantenan 3,AKTIF
BTN,,CRM,HTC0021163,SUNTER,AKTIF
